learning_rate/pg1,learning_rate/pg2,step,train_mention_loss,train_coref_loss,train_entity_loss,train_rel_loss,train_loss,epoch,valid_f1,mention_prec_micro,mention_rec_micro,mention_f1_micro,mention_prec_macro,mention_rec_macro,mention_f1_macro,coref_prec_micro,coref_rec_micro,coref_f1_micro,coref_prec_macro,coref_rec_macro,coref_f1_macro,entity_prec_micro,entity_rec_micro,entity_f1_micro,entity_prec_macro,entity_rec_macro,entity_f1_macro,rel_prec_micro,rel_rec_micro,rel_f1_micro,rel_prec_macro,rel_rec_macro,rel_f1_macro,rel_nec_prec_micro,rel_nec_rec_micro,rel_nec_f1_micro,rel_nec_prec_macro,rel_nec_rec_macro,rel_nec_f1_macro
,,39999,0.00014722967171110213,0.0,3.6595938581740484e-05,0.0,0.00015637864999007434,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3851013513513513e-05,1.3851013513513513e-05,40999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,40999,0.0002970782807096839,0.0,8.583032467868179e-06,2.861019311239943e-06,0.0003020850708708167,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,41439,,,,,,27,56.914893617021264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4188851351351352e-05,1.4188851351351352e-05,41999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,41999,0.00034360261633992195,1.7881392011531716e-07,0.0003127104719169438,1.1920928244535389e-07,0.0004220782429911196,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,42919,,,,,,28,65.73033707865167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.452668918918919e-05,1.452668918918919e-05,42999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,42999,0.009326125495135784,0.0,1.776196586433798e-05,4.172324281626061e-07,0.009330983273684978,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4864527027027028e-05,1.4864527027027028e-05,43999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,43999,0.00020185466564726084,0.0,9.357875569548924e-06,0.0,0.0002041941334027797,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,44399,,,,,,29,65.60000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5202364864864865e-05,1.5202364864864865e-05,44999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,44999,0.0001406860101269558,0.0,1.6689276662873453e-06,8.34464515264699e-07,0.000141937707667239,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,45879,,,,,,30,57.466063348416284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5540202702702703e-05,1.5540202702702703e-05,45999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,45999,0.00013037397002335638,0.0,5.364416892916779e-07,0.0,0.000130508080474101,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5878040540540542e-05,1.5878040540540542e-05,46999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,46999,9.075311390915886e-05,0.0,1.788137637959153e-06,0.0,9.120014874497429e-05,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,47359,,,,,,31,50.847457627118644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.621587837837838e-05,1.621587837837838e-05,47999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,47999,0.0002045434230240062,0.0,9.536738616588991e-07,0.0,0.00020478184160310775,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,48839,,,,,,32,60.05361930294906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.6553716216216216e-05,1.6553716216216216e-05,48999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,48999,2.3891008822829463e-05,0.0,3.349719918332994e-05,0.0,3.2265306799672544e-05,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.6891554054054055e-05,1.6891554054054055e-05,49999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,49999,8.425291161984205e-05,0.0,2.205369128205348e-06,0.0,8.480425458401442e-05,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
